date,sku,product,category,units_sold,unit_price,unit_cost,revenue,cogs,gross_margin,gross_margin_pct
2026-03-05,TSH-001,Basic cotton tee,T-shirts,45,59.0,19.0,2655.0,855.0,1800.0,67.8
2026-03-05,TSH-002,Premium oversize tee,T-shirts,23,89.0,31.0,2047.0,713.0,1334.0,65.17
2026-03-05,SHI-101,Linen slim shirt,Shirts,16,159.0,62.0,2544.0,992.0,1552.0,61.01
2026-03-05,SHI-102,Flannel check shirt,Shirts,13,139.0,54.0,1807.0,702.0,1105.0,61.15
2026-03-05,TRO-201,Chino trousers,Trousers,23,179.0,70.0,4117.0,1610.0,2507.0,60.89
2026-03-05,TRO-202,Regular jeans,Trousers,25,199.0,82.0,4975.0,2050.0,2925.0,58.79
2026-03-05,TRO-203,Jogger sweatpants,Trousers,31,119.0,40.0,3689.0,1240.0,2449.0,66.39
2026-03-05,HOO-301,Hooded sweatshirt,Hoodies,16,189.0,72.0,3024.0,1152.0,1872.0,61.9
2026-03-05,HOO-302,Crewneck sweatshirt,Hoodies,15,159.0,60.0,2385.0,900.0,1485.0,62.26
2026-03-05,JKT-401,Transitional parka,Jackets,6,399.0,175.0,2394.0,1050.0,1344.0,56.14
2026-03-05,JKT-402,Denim jacket,Jackets,8,259.0,105.0,2072.0,840.0,1232.0,59.46
2026-03-05,ACC-501,Beanie hat,Accessories,33,49.0,14.0,1617.0,462.0,1155.0,71.43
2026-03-06,TSH-001,Basic cotton tee,T-shirts,40,59.0,19.0,2360.0,760.0,1600.0,67.8
2026-03-06,TSH-002,Premium oversize tee,T-shirts,29,89.0,31.0,2581.0,899.0,1682.0,65.17
2026-03-06,SHI-101,Linen slim shirt,Shirts,21,159.0,62.0,3339.0,1302.0,2037.0,61.01
2026-03-06,SHI-102,Flannel check shirt,Shirts,17,139.0,54.0,2363.0,918.0,1445.0,61.15
2026-03-06,TRO-201,Chino trousers,Trousers,22,179.0,70.0,3938.0,1540.0,2398.0,60.89
2026-03-06,TRO-202,Regular jeans,Trousers,29,199.0,82.0,5771.0,2378.0,3393.0,58.79
2026-03-06,TRO-203,Jogger sweatpants,Trousers,35,119.0,40.0,4165.0,1400.0,2765.0,66.39
2026-03-06,HOO-301,Hooded sweatshirt,Hoodies,18,189.0,72.0,3402.0,1296.0,2106.0,61.9
2026-03-06,HOO-302,Crewneck sweatshirt,Hoodies,20,159.0,60.0,3180.0,1200.0,1980.0,62.26
2026-03-06,JKT-401,Transitional parka,Jackets,10,399.0,175.0,3990.0,1750.0,2240.0,56.14
2026-03-06,JKT-402,Denim jacket,Jackets,10,259.0,105.0,2590.0,1050.0,1540.0,59.46
2026-03-06,ACC-501,Beanie hat,Accessories,33,49.0,14.0,1617.0,462.0,1155.0,71.43
2026-03-07,TSH-001,Basic cotton tee,T-shirts,69,59.0,19.0,4071.0,1311.0,2760.0,67.8
2026-03-07,TSH-002,Premium oversize tee,T-shirts,37,89.0,31.0,3293.0,1147.0,2146.0,65.17
2026-03-07,SHI-101,Linen slim shirt,Shirts,20,159.0,62.0,3180.0,1240.0,1940.0,61.01
2026-03-07,SHI-102,Flannel check shirt,Shirts,16,139.0,54.0,2224.0,864.0,1360.0,61.15
2026-03-07,TRO-201,Chino trousers,Trousers,33,179.0,70.0,5907.0,2310.0,3597.0,60.89
2026-03-07,TRO-202,Regular jeans,Trousers,34,199.0,82.0,6766.0,2788.0,3978.0,58.79
2026-03-07,TRO-203,Jogger sweatpants,Trousers,41,119.0,40.0,4879.0,1640.0,3239.0,66.39
2026-03-07,HOO-301,Hooded sweatshirt,Hoodies,28,189.0,72.0,5292.0,2016.0,3276.0,61.9
2026-03-07,HOO-302,Crewneck sweatshirt,Hoodies,21,159.0,60.0,3339.0,1260.0,2079.0,62.26
2026-03-07,JKT-401,Transitional parka,Jackets,12,399.0,175.0,4788.0,2100.0,2688.0,56.14
2026-03-07,JKT-402,Denim jacket,Jackets,12,259.0,105.0,3108.0,1260.0,1848.0,59.46
2026-03-07,ACC-501,Beanie hat,Accessories,47,49.0,14.0,2303.0,658.0,1645.0,71.43
2026-03-08,TSH-001,Basic cotton tee,T-shirts,64,59.0,19.0,3776.0,1216.0,2560.0,67.8
2026-03-08,TSH-002,Premium oversize tee,T-shirts,39,89.0,31.0,3471.0,1209.0,2262.0,65.17
2026-03-08,SHI-101,Linen slim shirt,Shirts,26,159.0,62.0,4134.0,1612.0,2522.0,61.01
2026-03-08,SHI-102,Flannel check shirt,Shirts,19,139.0,54.0,2641.0,1026.0,1615.0,61.15
2026-03-08,TRO-201,Chino trousers,Trousers,30,179.0,70.0,5370.0,2100.0,3270.0,60.89
2026-03-08,TRO-202,Regular jeans,Trousers,26,199.0,82.0,5174.0,2132.0,3042.0,58.79
2026-03-08,TRO-203,Jogger sweatpants,Trousers,31,119.0,40.0,3689.0,1240.0,2449.0,66.39
2026-03-08,HOO-301,Hooded sweatshirt,Hoodies,23,189.0,72.0,4347.0,1656.0,2691.0,61.9
2026-03-08,HOO-302,Crewneck sweatshirt,Hoodies,17,159.0,60.0,2703.0,1020.0,1683.0,62.26
2026-03-08,JKT-401,Transitional parka,Jackets,9,399.0,175.0,3591.0,1575.0,2016.0,56.14
2026-03-08,JKT-402,Denim jacket,Jackets,11,259.0,105.0,2849.0,1155.0,1694.0,59.46
2026-03-08,ACC-501,Beanie hat,Accessories,40,49.0,14.0,1960.0,560.0,1400.0,71.43
2026-03-09,TSH-001,Basic cotton tee,T-shirts,55,59.0,19.0,3245.0,1045.0,2200.0,67.8
2026-03-09,TSH-002,Premium oversize tee,T-shirts,33,89.0,31.0,2937.0,1023.0,1914.0,65.17
2026-03-09,SHI-101,Linen slim shirt,Shirts,20,159.0,62.0,3180.0,1240.0,1940.0,61.01
2026-03-09,SHI-102,Flannel check shirt,Shirts,15,139.0,54.0,2085.0,810.0,1275.0,61.15
2026-03-09,TRO-201,Chino trousers,Trousers,23,179.0,70.0,4117.0,1610.0,2507.0,60.89
2026-03-09,TRO-202,Regular jeans,Trousers,34,199.0,82.0,6766.0,2788.0,3978.0,58.79
2026-03-09,TRO-203,Jogger sweatpants,Trousers,34,119.0,40.0,4046.0,1360.0,2686.0,66.39
2026-03-09,HOO-301,Hooded sweatshirt,Hoodies,24,189.0,72.0,4536.0,1728.0,2808.0,61.9
2026-03-09,HOO-302,Crewneck sweatshirt,Hoodies,16,159.0,60.0,2544.0,960.0,1584.0,62.26
2026-03-09,JKT-401,Transitional parka,Jackets,10,399.0,175.0,3990.0,1750.0,2240.0,56.14
2026-03-09,JKT-402,Denim jacket,Jackets,10,259.0,105.0,2590.0,1050.0,1540.0,59.46
2026-03-09,ACC-501,Beanie hat,Accessories,39,49.0,14.0,1911.0,546.0,1365.0,71.43
2026-03-10,TSH-001,Basic cotton tee,T-shirts,52,59.0,19.0,3068.0,988.0,2080.0,67.8
2026-03-10,TSH-002,Premium oversize tee,T-shirts,30,89.0,31.0,2670.0,930.0,1740.0,65.17
2026-03-10,SHI-101,Linen slim shirt,Shirts,18,159.0,62.0,2862.0,1116.0,1746.0,61.01
2026-03-10,SHI-102,Flannel check shirt,Shirts,15,139.0,54.0,2085.0,810.0,1275.0,61.15
2026-03-10,TRO-201,Chino trousers,Trousers,24,179.0,70.0,4296.0,1680.0,2616.0,60.89
2026-03-10,TRO-202,Regular jeans,Trousers,27,199.0,82.0,5373.0,2214.0,3159.0,58.79
2026-03-10,TRO-203,Jogger sweatpants,Trousers,24,119.0,40.0,2856.0,960.0,1896.0,66.39
2026-03-10,HOO-301,Hooded sweatshirt,Hoodies,16,189.0,72.0,3024.0,1152.0,1872.0,61.9
2026-03-10,HOO-302,Crewneck sweatshirt,Hoodies,14,159.0,60.0,2226.0,840.0,1386.0,62.26
2026-03-10,JKT-401,Transitional parka,Jackets,7,399.0,175.0,2793.0,1225.0,1568.0,56.14
2026-03-10,JKT-402,Denim jacket,Jackets,8,259.0,105.0,2072.0,840.0,1232.0,59.46
2026-03-10,ACC-501,Beanie hat,Accessories,39,49.0,14.0,1911.0,546.0,1365.0,71.43
2026-03-11,TSH-001,Basic cotton tee,T-shirts,47,59.0,19.0,2773.0,893.0,1880.0,67.8
2026-03-11,TSH-002,Premium oversize tee,T-shirts,25,89.0,31.0,2225.0,775.0,1450.0,65.17
2026-03-11,SHI-101,Linen slim shirt,Shirts,17,159.0,62.0,2703.0,1054.0,1649.0,61.01
2026-03-11,SHI-102,Flannel check shirt,Shirts,13,139.0,54.0,1807.0,702.0,1105.0,61.15
2026-03-11,TRO-201,Chino trousers,Trousers,23,179.0,70.0,4117.0,1610.0,2507.0,60.89
2026-03-11,TRO-202,Regular jeans,Trousers,22,199.0,82.0,4378.0,1804.0,2574.0,58.79
2026-03-11,TRO-203,Jogger sweatpants,Trousers,23,119.0,40.0,2737.0,920.0,1817.0,66.39
2026-03-11,HOO-301,Hooded sweatshirt,Hoodies,16,189.0,72.0,3024.0,1152.0,1872.0,61.9
2026-03-11,HOO-302,Crewneck sweatshirt,Hoodies,15,159.0,60.0,2385.0,900.0,1485.0,62.26
2026-03-11,JKT-401,Transitional parka,Jackets,7,399.0,175.0,2793.0,1225.0,1568.0,56.14
2026-03-11,JKT-402,Denim jacket,Jackets,9,259.0,105.0,2331.0,945.0,1386.0,59.46
2026-03-11,ACC-501,Beanie hat,Accessories,37,49.0,14.0,1813.0,518.0,1295.0,71.43
2026-03-12,TSH-001,Basic cotton tee,T-shirts,41,59.0,19.0,2419.0,779.0,1640.0,67.8
2026-03-12,TSH-002,Premium oversize tee,T-shirts,26,89.0,31.0,2314.0,806.0,1508.0,65.17
2026-03-12,SHI-101,Linen slim shirt,Shirts,21,159.0,62.0,3339.0,1302.0,2037.0,61.01
2026-03-12,SHI-102,Flannel check shirt,Shirts,14,139.0,54.0,1946.0,756.0,1190.0,61.15
2026-03-12,TRO-201,Chino trousers,Trousers,18,179.0,70.0,3222.0,1260.0,1962.0,60.89
2026-03-12,TRO-202,Regular jeans,Trousers,20,199.0,82.0,3980.0,1640.0,2340.0,58.79
2026-03-12,TRO-203,Jogger sweatpants,Trousers,23,119.0,40.0,2737.0,920.0,1817.0,66.39
2026-03-12,HOO-301,Hooded sweatshirt,Hoodies,20,189.0,72.0,3780.0,1440.0,2340.0,61.9
2026-03-12,HOO-302,Crewneck sweatshirt,Hoodies,17,159.0,60.0,2703.0,1020.0,1683.0,62.26
2026-03-12,JKT-401,Transitional parka,Jackets,7,399.0,175.0,2793.0,1225.0,1568.0,56.14
2026-03-12,JKT-402,Denim jacket,Jackets,8,259.0,105.0,2072.0,840.0,1232.0,59.46
2026-03-12,ACC-501,Beanie hat,Accessories,32,49.0,14.0,1568.0,448.0,1120.0,71.43
2026-03-13,TSH-001,Basic cotton tee,T-shirts,60,59.0,19.0,3540.0,1140.0,2400.0,67.8
2026-03-13,TSH-002,Premium oversize tee,T-shirts,34,89.0,31.0,3026.0,1054.0,1972.0,65.17
2026-03-13,SHI-101,Linen slim shirt,Shirts,24,159.0,62.0,3816.0,1488.0,2328.0,61.01
2026-03-13,SHI-102,Flannel check shirt,Shirts,19,139.0,54.0,2641.0,1026.0,1615.0,61.15
2026-03-13,TRO-201,Chino trousers,Trousers,20,179.0,70.0,3580.0,1400.0,2180.0,60.89
2026-03-13,TRO-202,Regular jeans,Trousers,30,199.0,82.0,5970.0,2460.0,3510.0,58.79
2026-03-13,TRO-203,Jogger sweatpants,Trousers,33,119.0,40.0,3927.0,1320.0,2607.0,66.39
2026-03-13,HOO-301,Hooded sweatshirt,Hoodies,23,189.0,72.0,4347.0,1656.0,2691.0,61.9
2026-03-13,HOO-302,Crewneck sweatshirt,Hoodies,16,159.0,60.0,2544.0,960.0,1584.0,62.26
2026-03-13,JKT-401,Transitional parka,Jackets,9,399.0,175.0,3591.0,1575.0,2016.0,56.14
2026-03-13,JKT-402,Denim jacket,Jackets,9,259.0,105.0,2331.0,945.0,1386.0,59.46
2026-03-13,ACC-501,Beanie hat,Accessories,38,49.0,14.0,1862.0,532.0,1330.0,71.43
2026-03-14,TSH-001,Basic cotton tee,T-shirts,58,59.0,19.0,3422.0,1102.0,2320.0,67.8
2026-03-14,TSH-002,Premium oversize tee,T-shirts,47,89.0,31.0,4183.0,1457.0,2726.0,65.17
2026-03-14,SHI-101,Linen slim shirt,Shirts,27,159.0,62.0,4293.0,1674.0,2619.0,61.01
2026-03-14,SHI-102,Flannel check shirt,Shirts,18,139.0,54.0,2502.0,972.0,1530.0,61.15
2026-03-14,TRO-201,Chino trousers,Trousers,29,179.0,70.0,5191.0,2030.0,3161.0,60.89
2026-03-14,TRO-202,Regular jeans,Trousers,29,199.0,82.0,5771.0,2378.0,3393.0,58.79
2026-03-14,TRO-203,Jogger sweatpants,Trousers,43,119.0,40.0,5117.0,1720.0,3397.0,66.39
2026-03-14,HOO-301,Hooded sweatshirt,Hoodies,30,189.0,72.0,5670.0,2160.0,3510.0,61.9
2026-03-14,HOO-302,Crewneck sweatshirt,Hoodies,19,159.0,60.0,3021.0,1140.0,1881.0,62.26
2026-03-14,JKT-401,Transitional parka,Jackets,11,399.0,175.0,4389.0,1925.0,2464.0,56.14
2026-03-14,JKT-402,Denim jacket,Jackets,14,259.0,105.0,3626.0,1470.0,2156.0,59.46
2026-03-14,ACC-501,Beanie hat,Accessories,40,49.0,14.0,1960.0,560.0,1400.0,71.43
2026-03-15,TSH-001,Basic cotton tee,T-shirts,63,59.0,19.0,3717.0,1197.0,2520.0,67.8
2026-03-15,TSH-002,Premium oversize tee,T-shirts,39,89.0,31.0,3471.0,1209.0,2262.0,65.17
2026-03-15,SHI-101,Linen slim shirt,Shirts,25,159.0,62.0,3975.0,1550.0,2425.0,61.01
2026-03-15,SHI-102,Flannel check shirt,Shirts,19,139.0,54.0,2641.0,1026.0,1615.0,61.15
2026-03-15,TRO-201,Chino trousers,Trousers,22,179.0,70.0,3938.0,1540.0,2398.0,60.89
2026-03-15,TRO-202,Regular jeans,Trousers,29,199.0,82.0,5771.0,2378.0,3393.0,58.79
2026-03-15,TRO-203,Jogger sweatpants,Trousers,29,119.0,40.0,3451.0,1160.0,2291.0,66.39
2026-03-15,HOO-301,Hooded sweatshirt,Hoodies,30,189.0,72.0,5670.0,2160.0,3510.0,61.9
2026-03-15,HOO-302,Crewneck sweatshirt,Hoodies,23,159.0,60.0,3657.0,1380.0,2277.0,62.26
2026-03-15,JKT-401,Transitional parka,Jackets,11,399.0,175.0,4389.0,1925.0,2464.0,56.14
2026-03-15,JKT-402,Denim jacket,Jackets,12,259.0,105.0,3108.0,1260.0,1848.0,59.46
2026-03-15,ACC-501,Beanie hat,Accessories,37,49.0,14.0,1813.0,518.0,1295.0,71.43
2026-03-16,TSH-001,Basic cotton tee,T-shirts,61,59.0,19.0,3599.0,1159.0,2440.0,67.8
2026-03-16,TSH-002,Premium oversize tee,T-shirts,41,89.0,31.0,3649.0,1271.0,2378.0,65.17
2026-03-16,SHI-101,Linen slim shirt,Shirts,18,159.0,62.0,2862.0,1116.0,1746.0,61.01
2026-03-16,SHI-102,Flannel check shirt,Shirts,17,139.0,54.0,2363.0,918.0,1445.0,61.15
2026-03-16,TRO-201,Chino trousers,Trousers,21,179.0,70.0,3759.0,1470.0,2289.0,60.89
2026-03-16,TRO-202,Regular jeans,Trousers,32,199.0,82.0,6368.0,2624.0,3744.0,58.79
2026-03-16,TRO-203,Jogger sweatpants,Trousers,36,119.0,40.0,4284.0,1440.0,2844.0,66.39
2026-03-16,HOO-301,Hooded sweatshirt,Hoodies,20,189.0,72.0,3780.0,1440.0,2340.0,61.9
2026-03-16,HOO-302,Crewneck sweatshirt,Hoodies,19,159.0,60.0,3021.0,1140.0,1881.0,62.26
2026-03-16,JKT-401,Transitional parka,Jackets,10,399.0,175.0,3990.0,1750.0,2240.0,56.14
2026-03-16,JKT-402,Denim jacket,Jackets,11,259.0,105.0,2849.0,1155.0,1694.0,59.46
2026-03-16,ACC-501,Beanie hat,Accessories,47,49.0,14.0,2303.0,658.0,1645.0,71.43
2026-03-17,TSH-001,Basic cotton tee,T-shirts,42,59.0,19.0,2478.0,798.0,1680.0,67.8
2026-03-17,TSH-002,Premium oversize tee,T-shirts,26,89.0,31.0,2314.0,806.0,1508.0,65.17
2026-03-17,SHI-101,Linen slim shirt,Shirts,18,159.0,62.0,2862.0,1116.0,1746.0,61.01
2026-03-17,SHI-102,Flannel check shirt,Shirts,16,139.0,54.0,2224.0,864.0,1360.0,61.15
2026-03-17,TRO-201,Chino trousers,Trousers,19,179.0,70.0,3401.0,1330.0,2071.0,60.89
2026-03-17,TRO-202,Regular jeans,Trousers,22,199.0,82.0,4378.0,1804.0,2574.0,58.79
2026-03-17,TRO-203,Jogger sweatpants,Trousers,32,119.0,40.0,3808.0,1280.0,2528.0,66.39
2026-03-17,HOO-301,Hooded sweatshirt,Hoodies,21,189.0,72.0,3969.0,1512.0,2457.0,61.9
2026-03-17,HOO-302,Crewneck sweatshirt,Hoodies,15,159.0,60.0,2385.0,900.0,1485.0,62.26
2026-03-17,JKT-401,Transitional parka,Jackets,8,399.0,175.0,3192.0,1400.0,1792.0,56.14
2026-03-17,JKT-402,Denim jacket,Jackets,8,259.0,105.0,2072.0,840.0,1232.0,59.46
2026-03-17,ACC-501,Beanie hat,Accessories,30,49.0,14.0,1470.0,420.0,1050.0,71.43
2026-03-18,TSH-001,Basic cotton tee,T-shirts,39,59.0,19.0,2301.0,741.0,1560.0,67.8
2026-03-18,TSH-002,Premium oversize tee,T-shirts,28,89.0,31.0,2492.0,868.0,1624.0,65.17
2026-03-18,SHI-101,Linen slim shirt,Shirts,15,159.0,62.0,2385.0,930.0,1455.0,61.01
2026-03-18,SHI-102,Flannel check shirt,Shirts,12,139.0,54.0,1668.0,648.0,1020.0,61.15
2026-03-18,TRO-201,Chino trousers,Trousers,17,179.0,70.0,3043.0,1190.0,1853.0,60.89
2026-03-18,TRO-202,Regular jeans,Trousers,24,199.0,82.0,4776.0,1968.0,2808.0,58.79
2026-03-18,TRO-203,Jogger sweatpants,Trousers,23,119.0,40.0,2737.0,920.0,1817.0,66.39
2026-03-18,HOO-301,Hooded sweatshirt,Hoodies,21,189.0,72.0,3969.0,1512.0,2457.0,61.9
